,datetime,source,MW
585,2016-11-05 03:40:08,Both,0.0
586,2016-11-05 03:40:35,Both,0.21
587,2016-11-05 04:04:57,Both,-0.19
588,2016-11-05 04:36:00,Both,0.17
589,2016-11-05 05:02:21,Both,0.18
590,2016-11-05 05:09:39,Both,-0.1
591,2016-11-05 05:27:11,Both,-0.09
592,2016-11-05 05:55:28,Both,0.1
593,2016-11-05 06:53:37,Both,-0.23
594,2016-11-05 07:20:24,Both,0.06
595,2016-11-05 07:31:25,Both,0.03
596,2016-11-05 07:40:49,Both,0.15
597,2016-11-05 07:41:37,Both,0.02
598,2016-11-05 07:42:00,Both,0.27
599,2016-11-05 07:57:24,Both,-0.05
600,2016-11-05 08:05:48,Both,0.09
601,2016-11-05 08:16:09,Both,-0.06
602,2016-11-05 08:22:40,Both,0.21
603,2016-11-05 08:23:19,Both,0.07
604,2016-11-05 08:38:07,Both,0.01
605,2016-11-05 08:38:23,Both,0.0
606,2016-11-05 08:41:07,Both,0.17
607,2016-11-05 08:41:19,Both,0.05
608,2016-11-05 08:51:09,Both,0.07
609,2016-11-05 08:58:25,Both,0.31
610,2016-11-05 09:07:56,Both,0.19
611,2016-11-05 09:31:15,Both,0.08
612,2016-11-05 09:33:06,Both,0.46
613,2016-11-05 09:43:21,Both,0.27
614,2016-11-05 09:51:46,Both,0.16
615,2016-11-05 10:18:01,Both,0.28
616,2016-11-05 10:29:50,Both,0.07
617,2016-11-05 10:33:33,Both,0.15
618,2016-11-05 10:36:13,Both,0.1
619,2016-11-05 10:37:00,Both,0.13
620,2016-11-05 10:57:07,Both,0.17
621,2016-11-05 11:09:16,Both,0.41
622,2016-11-05 11:09:37,Both,0.07
623,2016-11-05 11:20:54,Both,0.13
624,2016-11-05 11:25:28,Both,0.13
625,2016-11-05 11:29:09,Both,0.18
626,2016-11-05 12:00:49,Both,0.3
627,2016-11-05 12:03:59,Both,0.08
628,2016-11-05 12:04:17,Both,0.32
629,2016-11-05 12:19:23,Both,0.23
630,2016-11-05 12:37:15,Both,0.18
631,2016-11-05 12:44:54,Both,0.27
632,2016-11-05 12:49:51,Both,0.04
633,2016-11-05 13:00:29,Both,-0.16
634,2016-11-05 13:12:30,Both,0.07
635,2016-11-05 13:17:16,Both,-0.14
636,2016-11-05 13:21:55,Both,0.09
637,2016-11-05 13:22:17,Both,0.17
638,2016-11-05 13:29:47,Both,0.05
639,2016-11-05 13:35:10,Both,0.18
640,2016-11-05 13:35:57,Both,-0.04
641,2016-11-05 13:41:22,Both,0.02
642,2016-11-05 13:46:09,Both,-0.1
643,2016-11-05 13:57:27,Both,0.06
644,2016-11-05 13:57:58,Both,0.05
645,2016-11-05 14:03:16,Both,0.3
646,2016-11-05 14:22:05,Both,0.76
647,2016-11-05 14:25:22,Both,0.47
648,2016-11-05 14:27:10,Both,0.07
649,2016-11-05 14:31:46,Both,0.55
650,2016-11-05 14:34:47,Both,0.42
651,2016-11-05 14:46:35,Both,0.41
652,2016-11-05 14:53:26,Both,0.35
653,2016-11-05 14:57:04,Both,0.39
654,2016-11-05 14:57:29,Both,0.69
655,2016-11-05 14:57:48,Both,0.26
656,2016-11-05 14:58:32,Both,0.39
657,2016-11-05 15:03:48,Both,0.28
658,2016-11-05 15:04:17,Both,0.22
659,2016-11-05 15:05:53,Both,0.2
660,2016-11-05 15:08:12,Both,0.31
661,2016-11-05 15:09:19,Both,0.39
662,2016-11-05 15:09:55,Both,0.33
663,2016-11-05 15:17:17,Both,0.25
664,2016-11-05 15:20:33,Both,0.32
665,2016-11-05 15:21:49,Both,0.28
