,datetime,source,Easting (m),Northing (m),TVD (m),MW,double_flag
399,2016-11-02 00:13:06.926,es,,,,,True
400,2016-11-02 00:14:53.000,srl,2863.0,4142.0,3361.0,-0.11,True
401,2016-11-02 00:14:54.012,es,,,,,True
402,2016-11-02 00:31:27.000,srl,2850.0,4100.0,2403.0,-0.34,True
403,2016-11-02 00:31:27.822,es,,,,,True
404,2016-11-02 00:31:38.000,srl,2850.0,4100.0,4734.0,-0.14,True
405,2016-11-02 00:31:38.614,es,,,,,True
406,2016-11-02 00:31:41.000,srl,2900.0,4200.0,3791.0,-0.13,True
407,2016-11-02 00:31:42.594,es,,,,,True
408,2016-11-02 00:46:31.000,srl,2863.0,4176.0,3299.0,-0.06,True
409,2016-11-02 00:46:31.384,es,,,,,True
410,2016-11-02 01:08:01.000,srl,2778.0,4177.0,3571.0,-0.09,True
411,2016-11-02 01:08:01.256,es,,,,,True
412,2016-11-02 01:18:42.000,srl,2783.0,4168.0,3486.0,0.01,True
413,2016-11-02 01:18:42.074,es,,,,,True
414,2016-11-02 01:29:05.000,srl,2843.0,4142.0,3379.0,-0.2,True
